lat,lng,,,,,,,河北省,北京市,天津市
36.09144513,114.9741211,lat,:,},{,lng,"{lat:36.0914451283199,lng:114.97412109375},",1,0,0
36.1945366,115.4355469,lat,:,},{,lng,"{lat:36.1945366033266,lng:115.435546875},",1,0,0
36.1945366,115.3432617,lat,:,},{,lng,"{lat:36.1945366033266,lng:115.34326171875},",1,0,0
36.1945366,115.0664063,lat,:,},{,lng,"{lat:36.1945366033266,lng:115.06640625},",1,0,0
36.1945366,114.9741211,lat,:,},{,lng,"{lat:36.1945366033266,lng:114.97412109375},",1,0,0
36.1945366,114.8818359,lat,:,},{,lng,"{lat:36.1945366033266,lng:114.8818359375},",1,0,0
36.1945366,114.7895508,lat,:,},{,lng,"{lat:36.1945366033266,lng:114.78955078125},",1,0,0
36.1945366,114.6972656,lat,:,},{,lng,"{lat:36.1945366033266,lng:114.697265625},",1,0,0
36.1945366,114.6049805,lat,:,},{,lng,"{lat:36.1945366033266,lng:114.60498046875},",1,0,0
36.1945366,114.5126953,lat,:,},{,lng,"{lat:36.1945366033266,lng:114.5126953125},",1,0,0
36.29762808,115.3432617,lat,:,},{,lng,"{lat:36.2976280783333,lng:115.34326171875},",1,0,0
36.29762808,115.2509766,lat,:,},{,lng,"{lat:36.2976280783333,lng:115.2509765625},",1,0,0
36.29762808,115.1586914,lat,:,},{,lng,"{lat:36.2976280783333,lng:115.15869140625},",1,0,0
36.29762808,115.0664063,lat,:,},{,lng,"{lat:36.2976280783333,lng:115.06640625},",1,0,0
36.29762808,114.9741211,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.97412109375},",1,0,0
36.29762808,114.8818359,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.8818359375},",1,0,0
36.29762808,114.7895508,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.78955078125},",1,0,0
36.29762808,114.6972656,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.697265625},",1,0,0
36.29762808,114.6049805,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.60498046875},",1,0,0
36.29762808,114.5126953,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.5126953125},",1,0,0
36.29762808,114.4204102,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.42041015625},",1,0,0
36.29762808,114.328125,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.328125},",1,0,0
36.29762808,114.2358398,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.23583984375},",1,0,0
36.29762808,114.1435547,lat,:,},{,lng,"{lat:36.2976280783333,lng:114.1435546875},",1,0,0
36.40071955,115.3432617,lat,:,},{,lng,"{lat:36.4007195533399,lng:115.34326171875},",1,0,0
36.40071955,115.2509766,lat,:,},{,lng,"{lat:36.4007195533399,lng:115.2509765625},",1,0,0
36.40071955,115.1586914,lat,:,},{,lng,"{lat:36.4007195533399,lng:115.15869140625},",1,0,0
36.40071955,115.0664063,lat,:,},{,lng,"{lat:36.4007195533399,lng:115.06640625},",1,0,0
36.40071955,114.9741211,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.97412109375},",1,0,0
36.40071955,114.8818359,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.8818359375},",1,0,0
36.40071955,114.7895508,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.78955078125},",1,0,0
36.40071955,114.6972656,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.697265625},",1,0,0
36.40071955,114.6049805,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.60498046875},",1,0,0
36.40071955,114.4204102,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.42041015625},",1,0,0
36.40071955,114.328125,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.328125},",1,0,0
36.40071955,114.2358398,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.23583984375},",1,0,0
36.40071955,114.1435547,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.1435546875},",1,0,0
36.40071955,114.0512695,lat,:,},{,lng,"{lat:36.4007195533399,lng:114.05126953125},",1,0,0
36.40071955,113.9589844,lat,:,},{,lng,"{lat:36.4007195533399,lng:113.958984375},",1,0,0
36.40071955,113.8666992,lat,:,},{,lng,"{lat:36.4007195533399,lng:113.86669921875},",1,0,0
36.50381103,115.2509766,lat,:,},{,lng,"{lat:36.5038110283466,lng:115.2509765625},",1,0,0
36.50381103,115.1586914,lat,:,},{,lng,"{lat:36.5038110283466,lng:115.15869140625},",1,0,0
36.50381103,115.0664063,lat,:,},{,lng,"{lat:36.5038110283466,lng:115.06640625},",1,0,0
36.50381103,114.9741211,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.97412109375},",1,0,0
36.50381103,114.8818359,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.8818359375},",1,0,0
36.50381103,114.7895508,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.78955078125},",1,0,0
36.50381103,114.6972656,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.697265625},",1,0,0
36.50381103,114.6049805,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.60498046875},",1,0,0
36.50381103,114.5126953,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.5126953125},",1,0,0
36.50381103,114.4204102,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.42041015625},",1,0,0
36.50381103,114.328125,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.328125},",1,0,0
36.50381103,114.2358398,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.23583984375},",1,0,0
36.50381103,114.1435547,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.1435546875},",1,0,0
36.50381103,114.0512695,lat,:,},{,lng,"{lat:36.5038110283466,lng:114.05126953125},",1,0,0
36.50381103,113.9589844,lat,:,},{,lng,"{lat:36.5038110283466,lng:113.958984375},",1,0,0
36.50381103,113.8666992,lat,:,},{,lng,"{lat:36.5038110283466,lng:113.86669921875},",1,0,0
36.6069025,115.3432617,lat,:,},{,lng,"{lat:36.6069025033533,lng:115.34326171875},",1,0,0
36.6069025,115.2509766,lat,:,},{,lng,"{lat:36.6069025033533,lng:115.2509765625},",1,0,0
36.6069025,115.1586914,lat,:,},{,lng,"{lat:36.6069025033533,lng:115.15869140625},",1,0,0
36.6069025,115.0664063,lat,:,},{,lng,"{lat:36.6069025033533,lng:115.06640625},",1,0,0
36.6069025,114.9741211,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.97412109375},",1,0,0
36.6069025,114.8818359,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.8818359375},",1,0,0
36.6069025,114.7895508,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.78955078125},",1,0,0
36.6069025,114.6972656,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.697265625},",1,0,0
36.6069025,114.6049805,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.60498046875},",1,0,0
36.6069025,114.5126953,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.5126953125},",1,0,0
36.6069025,114.4204102,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.42041015625},",1,0,0
36.6069025,114.328125,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.328125},",1,0,0
36.6069025,114.2358398,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.23583984375},",1,0,0
36.6069025,114.1435547,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.1435546875},",1,0,0
36.6069025,114.0512695,lat,:,},{,lng,"{lat:36.6069025033533,lng:114.05126953125},",1,0,0
36.6069025,113.9589844,lat,:,},{,lng,"{lat:36.6069025033533,lng:113.958984375},",1,0,0
36.6069025,113.8666992,lat,:,},{,lng,"{lat:36.6069025033533,lng:113.86669921875},",1,0,0
36.70999398,115.4355469,lat,:,},{,lng,"{lat:36.7099939783599,lng:115.435546875},",1,0,0
36.70999398,115.3432617,lat,:,},{,lng,"{lat:36.7099939783599,lng:115.34326171875},",1,0,0
36.70999398,115.2509766,lat,:,},{,lng,"{lat:36.7099939783599,lng:115.2509765625},",1,0,0
36.70999398,115.1586914,lat,:,},{,lng,"{lat:36.7099939783599,lng:115.15869140625},",1,0,0
36.70999398,115.0664063,lat,:,},{,lng,"{lat:36.7099939783599,lng:115.06640625},",1,0,0
36.70999398,114.9741211,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.97412109375},",1,0,0
36.70999398,114.8818359,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.8818359375},",1,0,0
36.70999398,114.7895508,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.78955078125},",1,0,0
36.70999398,114.6972656,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.697265625},",1,0,0
36.70999398,114.6049805,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.60498046875},",1,0,0
36.70999398,114.5126953,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.5126953125},",1,0,0
36.70999398,114.4204102,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.42041015625},",1,0,0
36.70999398,114.328125,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.328125},",1,0,0
36.70999398,114.2358398,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.23583984375},",1,0,0
36.70999398,114.1435547,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.1435546875},",1,0,0
36.70999398,114.0512695,lat,:,},{,lng,"{lat:36.7099939783599,lng:114.05126953125},",1,0,0
36.70999398,113.9589844,lat,:,},{,lng,"{lat:36.7099939783599,lng:113.958984375},",1,0,0
36.70999398,113.8666992,lat,:,},{,lng,"{lat:36.7099939783599,lng:113.86669921875},",1,0,0
36.81308545,115.6201172,lat,:,},{,lng,"{lat:36.8130854533666,lng:115.6201171875},",1,0,0
36.81308545,115.527832,lat,:,},{,lng,"{lat:36.8130854533666,lng:115.52783203125},",1,0,0
36.81308545,115.4355469,lat,:,},{,lng,"{lat:36.8130854533666,lng:115.435546875},",1,0,0
36.81308545,115.3432617,lat,:,},{,lng,"{lat:36.8130854533666,lng:115.34326171875},",1,0,0
36.81308545,115.2509766,lat,:,},{,lng,"{lat:36.8130854533666,lng:115.2509765625},",1,0,0
36.81308545,115.1586914,lat,:,},{,lng,"{lat:36.8130854533666,lng:115.15869140625},",1,0,0
36.81308545,115.0664063,lat,:,},{,lng,"{lat:36.8130854533666,lng:115.06640625},",1,0,0
36.81308545,114.9741211,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.97412109375},",1,0,0
36.81308545,114.8818359,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.8818359375},",1,0,0
36.81308545,114.7895508,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.78955078125},",1,0,0
36.81308545,114.6972656,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.697265625},",1,0,0
36.81308545,114.6049805,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.60498046875},",1,0,0
36.81308545,114.5126953,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.5126953125},",1,0,0
36.81308545,114.4204102,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.42041015625},",1,0,0
36.81308545,114.328125,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.328125},",1,0,0
36.81308545,114.2358398,lat,:,},{,lng,"{lat:36.8130854533666,lng:114.23583984375},",1,0,0
